|,11,,
|,12,,
|,13,SECCO,
|,14,UMIDO,VERDE
|,15,PLASTICA,
|,16,VETRO,
|,17,UMIDO,
|,18,,
|,19,,
|,20,SECCO,
|,21,UMIDO,VERDE
|,22,,
|,23,CARTA,
|,24,UMIDO,
|,25,,
|,26,,
|,27,SECCO,
|,28,UMIDO,VERDE
|,29,PLASTICA,
|,30,VETRO,
|,31,UMIDO,
=,,,
~,GIUGNO 2024,,
|,1,,
|,2,,
|,3,SECCO,
|,4,UMIDO,VERDE
|,5,,
|,6,CARTA,
|,7,UMIDO,
|,8,,
|,9,,
|,10,SECCO,
|,11,UMIDO,VERDE
|,12,PLASTICA,
|,13,VETRO,
|,14,UMIDO,
|,15,,
|,16,,
|,17,SECCO,
|,18,UMIDO,VERDE
|,19,,
|,20,CARTA,
|,21,UMIDO,
|,22,,
|,23,,
|,24,SECCO,
|,25,UMIDO,VERDE
|,26,PLASTICA,
|,27,VETRO,
|,28,UMIDO,
|,29,,
|,30,,
=,,,
~,LUGLIO 2024,,
|,1,SECCO,
|,2,UMIDO,VERDE
|,3,,
|,4,CARTA,
|,5,UMIDO,
|,6,,
|,7,,
|,8,SECCO,
|,9,UMIDO,VERDE
|,10,PLASTICA,
|,11,VETRO,
|,12,UMIDO,
|,13,,
|,14,,
|,15,SECCO,
|,16,UMIDO,VERDE
|,17,,
|,18,CARTA,
|,19,UMIDO,
|,20,,
|,21,,
|,22,SECCO,
|,23,UMIDO,VERDE
|,24,PLASTICA,
|,25,VETRO,
|,26,UMIDO,
|,27,,
|,28,,
|,29,SECCO,
|,30,UMIDO,VERDE
|,31,,
=,,,
~,AGOSTO 2024,,
|,1,CARTA,
|,2,UMIDO,
|,3,,
|,4,,
|,5,SECCO,
|,6,UMIDO,VERDE
|,7,PLASTICA,
|,8,VETRO,
|,9,UMIDO,
|,10,,
|,11,,
|,12,SECCO,
|,13,UMIDO,VERDE
|,14,CARTA,
|,15,,
|,16,UMIDO,
|,17,,
|,18,,
|,19,SECCO,
|,20,UMIDO,VERDE
|,21,PLASTICA,
|,22,VETRO,
|,23,UMIDO,
|,24,,
|,25,,
|,26,SECCO,
|,27,UMIDO,VERDE
|,28,,
|,29,CARTA,
|,30,UMIDO,
|,31,,
=,,,
~,SETTEMBRE 2024,,
|,1,,
|,2,SECCO,
|,3,UMIDO,VERDE
|,4,PLASTICA,
|,5,VETRO,
|,6,UMIDO,
|,7,,
|,8,,
|,9,SECCO,
|,10,UMIDO,VERDE
|,11,,
|,12,CARTA,
|,13,UMIDO,
|,14,,
|,15,,
|,16,SECCO,
|,17,UMIDO,VERDE
|,18,PLASTICA,
|,19,VETRO,
|,20,UMIDO,
|,21,,
|,22,,
|,23,SECCO,
|,24,UMIDO,VERDE
|,25,,
|,26,CARTA,
|,27,UMIDO,
|,28,,
|,29,,
|,30,SECCO,
=,,,
~,OTTOBRE 2024,,
|,1,UMIDO,VERDE
|,2,PLASTICA,
|,3,VETRO,
|,4,UMIDO,
|,5,,
|,6,,
|,7,SECCO,
|,8,UMIDO,VERDE
|,9,,
|,10,CARTA,
|,11,UMIDO,
|,12,,
|,13,,
|,14,SECCO,
|,15,UMIDO,VERDE
|,16,PLASTICA,
|,17,VETRO,
|,18,UMIDO,
|,19,,
|,20,,
|,21,SECCO,
|,22,UMIDO,VERDE
|,23,,
|,24,CARTA,
|,25,UMIDO,
|,26,,
|,27,,
|,28,SECCO,
|,29,UMIDO,VERDE
|,30,PLASTICA,
|,31,VETRO,
=,,,
~,NOVEMBRE 2024,,
|,1,,
|,2,UMIDO,
|,3,,
|,4,SECCO,
|,5,UMIDO,
|,6,,
|,7,CARTA,
|,8,UMIDO,
|,9,,
|,10,,
|,11,SECCO,
|,12,UMIDO,VERDE
|,13,PLASTICA,
|,14,VETRO,
|,15,UMIDO,
|,16,,
|,17,,
|,18,SECCO,
|,19,UMIDO,
|,20,,
|,21,CARTA,
|,22,UMIDO,
|,23,,
|,24,,
|,25,SECCO,
|,26,UMIDO,VERDE
|,27,PLASTICA,
|,28,VETRO,
|,29,UMIDO,
|,30,,
=,,,
~,DICEMBRE 2024,,
|,1,,
|,2,SECCO,
|,3,UMIDO,
|,4,,
|,5,CARTA,
|,6,UMIDO,
|,7,,
|,8,,
|,9,SECCO,
|,10,UMIDO,VERDE
|,11,PLASTICA,
|,12,VETRO,
|,13,UMIDO,
|,14,,
|,15,,
|,16,SECCO,
|,17,UMIDO,
|,18,,
|,19,CARTA,
|,20,UMIDO,
|,21,,
|,22,,
|,23,UMIDO,SECCO
|,24,PLASTICA,
|,25,,
|,26,,
|,27,UMIDO,
|,28,VERDE,VETRO
|,29,,
|,30,SECCO,
|,31,UMIDO,
=,,,
~,GENNAIO 2025,,
|,1,,
|,2,CARTA,
|,3,UMIDO,
|,4,,
|,5,,
|,6,,
|,7,UMIDO,VERDE
|,8,SECCO,
|,9,PLASTICA,
|,10,VETRO,
|,11,UMIDO,
|,12,,
|,13,SECCO,
|,14,UMIDO,
|,15,,
|,16,CARTA,
|,17,UMIDO,
|,18,,
|,19,,
|,20,SECCO,
|,21,UMIDO,VERDE
|,22,PLASTICA,
|,23,VETRO,
|,24,UMIDO,
|,25,,
|,26,,
|,27,SECCO,
|,28,UMIDO,
|,29,,
|,30,CARTA,
|,31,UMIDO,
=,,,
